feature	profile	wire_B	budget_s	measured_s	status	note
chat_text	loss10	27	30	0.5	PASS	sender_ms=511 peer_ms=511 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	loss10	57431	30	2.0	PASS	sender_ms=1983 peer_ms=1983 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	loss10	24000	30	7.4	PASS	sender_ms=7388 peer_ms=7388 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	loss10	64000	30	1.0	PASS	sender_ms=953 peer_ms=953 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-03T23:09:25Z bw=- delay=- plr=0.10 icmp_rtt=1.094 icmp_loss=20.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	bandwidth	-	300	0.0	FAIL	outcome= app_end= peer_end=? media=realAudio run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=MISSING(0B)
monitor_bar	bandwidth	-	-	?	FAIL	chip_live= chip_demo= rtt=?..?ms loss_max=?% reconnects=? (bar not live) (no connected call to measure) run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	bandwidth	27	148	1.2	PASS	sender_ms=7958 peer_ms=1226 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	bandwidth	57431	148	-	FAIL	sender_ms=- peer_ms=- sha_match=false media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256; phone never reported it verified within the budget run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	bandwidth	-	148	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	bandwidth	-	148	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-03T23:12:26Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.164 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	narrow	-	300	0.0	FAIL	outcome= app_end= peer_end=? media=realAudio run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=119534075B
monitor_bar	narrow	-	-	?	FAIL	chip_live= chip_demo= rtt=?..?ms loss_max=?% reconnects=? (bar not live) (no connected call to measure) run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	narrow	27	276	6.6	PASS	sender_ms=8271 peer_ms=6596 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	narrow	57431	276	35.0	PASS	sender_ms=36956 peer_ms=35028 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	narrow	-	276	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	narrow	-	276	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-03T23:19:37Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.627 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	normal	-	300	5.4	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1179545750B
monitor_bar	normal	-	40	82	PASS	chip_live=87 chip_demo=0 rtt=81..82ms loss_max=0.0% reconnects=0 run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	27	30	0.5	PASS	sender_ms=486 peer_ms=486 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	normal	57431	30	21.1	PASS	sender_ms=21146 peer_ms=21146 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	normal	24000	30	7.4	PASS	sender_ms=7372 peer_ms=7372 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	normal	64000	30	20.1	PASS	sender_ms=20146 peer_ms=20146 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-03T23:48:24Z bw=- delay=40 plr=0.0 icmp_rtt=81.554 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	normal	-	300	7.0	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1179545750B
monitor_bar	normal	-	40	82	PASS	chip_live=87 chip_demo=0 rtt=81..82ms loss_max=0.0% reconnects=0 run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	27	30	0.5	PASS	sender_ms=506 peer_ms=506 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	normal	57431	30	2.7	PASS	sender_ms=2998 peer_ms=2677 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	normal	24000	30	7.3	PASS	sender_ms=7341 peer_ms=7341 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	normal	64000	30	0.9	PASS	sender_ms=937 peer_ms=937 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:01:27Z bw=- delay=40 plr=0.0 icmp_rtt=81.228 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	latency	-	300	5.6	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=176143571B
monitor_bar	latency	-	900	1800	PASS	chip_live=87 chip_demo=0 rtt=1..1800ms loss_max=0.0% reconnects=0 run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	latency	27	30	1.0	PASS	sender_ms=2090 peer_ms=966 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	latency	57431	30	11.7	PASS	sender_ms=12577 peer_ms=11708 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	latency	24000	30	14.8	PASS	sender_ms=15680 peer_ms=14784 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	latency	64000	30	6.8	PASS	sender_ms=7663 peer_ms=6806 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:04:25Z bw=- delay=900 plr=0.0 icmp_rtt=1801.792 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	loss10	-	300	5.8	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=85625821B
monitor_bar	loss10	-	-	2	INFO	chip_live=87 chip_demo=0 rtt=1..2ms loss_max=12.3% reconnects=0 run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss10	27	30	0.5	PASS	sender_ms=532 peer_ms=532 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped
photo	loss10	57431	30	3.2	PASS	sender_ms=3576 peer_ms=3238 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	loss10	24000	30	7.8	PASS	sender_ms=7823 peer_ms=7823 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	loss10	64000	30	1.0	PASS	sender_ms=989 peer_ms=989 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:08:08Z bw=- delay=- plr=0.10 icmp_rtt=1.087 icmp_loss=17.5% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	bandwidth	-	300	0.0	FAIL	outcome= app_end= peer_end=? media=realAudio run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=MISSING(0B)
monitor_bar	bandwidth	-	-	?	FAIL	chip_live= chip_demo= rtt=?..?ms loss_max=?% reconnects=? (bar not live) (no connected call to measure) run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	bandwidth	27	148	1.2	PASS	sender_ms=2629 peer_ms=1214 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	bandwidth	57431	148	-	FAIL	sender_ms=- peer_ms=- sha_match=false media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256; phone never reported it verified within the budget run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	bandwidth	-	148	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	bandwidth	-	148	-	FAIL	no feature line in the app log (driver aborted before it) run=2026-09-04T00:11:12Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.048 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	narrow	-	300	5.1	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=119534075B
monitor_bar	narrow	-	-	3817	INFO	chip_live=86 chip_demo=0 rtt=2..3817ms loss_max=75.7% reconnects=2 run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	narrow	27	276	9.0	PASS	sender_ms=11742 peer_ms=8956 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	narrow	57431	276	140.6	PASS	sender_ms=140559 peer_ms=140559 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	narrow	24000	276	29.6	PASS	sender_ms=29579 peer_ms=29579 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	narrow	64000	276	80.9	PASS	sender_ms=81464 peer_ms=80868 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:18:05Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=85.131 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	loss60	-	300	5.9	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=MISSING(0B)
monitor_bar	loss60	-	-	3	INFO	chip_live=74 chip_demo=0 rtt=0..3ms loss_max=71.4% reconnects=2 run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss60	27	128	0.5	PASS	sender_ms=505 peer_ms=505 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	loss60	57431	128	4.1	PASS	sender_ms=5528 peer_ms=4145 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	loss60	20000	128	24.3	PASS	sender_ms=24652 peer_ms=24333 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	loss60	64000	128	26.5	PASS	sender_ms=26526 peer_ms=26526 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:25:12Z bw=- delay=- plr=0.60 icmp_rtt=0.949 icmp_loss=80.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	extreme	-	300	5.9	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=517972029B
monitor_bar	extreme	-	1000	7153	PASS	chip_live=79 chip_demo=0 rtt=1..7153ms loss_max=67.9% reconnects=1 run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	extreme	27	398	4.4	PASS	sender_ms=8862 peer_ms=4430 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped
photo	extreme	57431	398	66.6	PASS	sender_ms=66578 peer_ms=66578 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	extreme	24000	398	23.1	PASS	sender_ms=23146 peer_ms=23146 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	extreme	64000	398	391.7	PASS	sender_ms=391690 peer_ms=391690 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:29:56Z bw=16Kbit/s delay=1000 plr=0.15 icmp_rtt=2085.386 icmp_loss=32.5% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	normal	-	300	6.2	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1x120s,343603896B
monitor_bar	normal	-	40	82	PASS	chip_live=87 chip_demo=0 rtt=81..82ms loss_max=0.0% reconnects=0 run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	normal	27	30	0.5	PASS	sender_ms=515 peer_ms=515 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	normal	57431	30	2.7	PASS	sender_ms=2731 peer_ms=2731 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	normal	24000	30	7.4	PASS	sender_ms=7387 peer_ms=7387 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	normal	64000	30	0.9	PASS	sender_ms=932 peer_ms=932 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:44:38Z bw=- delay=40 plr=0.0 icmp_rtt=81.641 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	latency	-	300	6.8	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1x120s,342632452B
monitor_bar	latency	-	900	1802	PASS	chip_live=87 chip_demo=0 rtt=1801..1802ms loss_max=0.0% reconnects=0 run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	latency	27	30	1.0	PASS	sender_ms=2088 peer_ms=960 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	latency	57431	30	11.5	PASS	sender_ms=12354 peer_ms=11479 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	latency	24000	30	14.8	PASS	sender_ms=15625 peer_ms=14761 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	latency	64000	30	6.8	PASS	sender_ms=7661 peer_ms=6802 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:49:33Z bw=- delay=900 plr=0.0 icmp_rtt=1801.198 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	loss10	-	300	5.3	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=1x120s,347683011B
monitor_bar	loss10	-	-	2	INFO	chip_live=87 chip_demo=0 rtt=1..2ms loss_max=20.0% reconnects=0 run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	loss10	27	30	0.4	PASS	sender_ms=769 peer_ms=416 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	loss10	57431	30	2.9	PASS	sender_ms=2901 peer_ms=2901 sha_match=true media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256 run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	loss10	24000	30	7.4	PASS	sender_ms=7375 peer_ms=7375 sha_match=true media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	loss10	64000	30	0.9	PASS	sender_ms=927 peer_ms=927 sha_match=true media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256 run=2026-09-04T00:54:15Z bw=- delay=- plr=0.10 icmp_rtt=1.119 icmp_loss=10.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	bandwidth	-	300	6.9	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=4x120s,1419154061B
monitor_bar	bandwidth	-	-	1903	INFO	chip_live=87 chip_demo=0 rtt=581..1903ms loss_max=38.8% reconnects=0 run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
chat_text	bandwidth	27	148	1.2	PASS	sender_ms=7965 peer_ms=1221 sha_match=true media=realAudio typed in the composer, sent with the send button run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
photo	bandwidth	57431	148	-	FAIL	sender_ms=- peer_ms=- sha_match=false media=realAudio JPEG fixture via the photo button, staged ladder, phone verified the original sha256; phone never reported it verified within the budget run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
voice_note	bandwidth	24000	148	-	FAIL	sender_ms=- peer_ms=- sha_match=false media=realAudio recorded 6s with the composer mic, sent; content is the app's placeholder audio (no recorder dependency), transfer and integrity are real; phone never reported it verified within the budget run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
video_note	bandwidth	64000	148	-	FAIL	sender_ms=- peer_ms=- sha_match=false media=realAudio synthetic clip bytes via the attach button, binary video lane, phone verified the sha256; phone never reported it verified within the budget run=2026-09-04T00:59:20Z bw=32Kbit/s delay=- plr=0.0 icmp_rtt=43.197 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped
call_connect	narrow	-	300	7.6	PASS	outcome=Connected app_end=Call_ended peer_end=remoteHangup media=realAudio run=2026-09-04T01:10:41Z bw=16Kbit/s delay=- plr=0.0 icmp_rtt=84.944 icmp_loss=0.0% scope=udp+icmp on bridge100, relay TCP unshaped app_relay=localhost(unshaped) recording=5x120s,1712607128B
